mvr_tla,statsnz_ta_name,linz_ta_name,linz_ta_code,canonical_ta_name,region_name,island
ASHBURTON DISTRICT,Ashburton district,Ashburton District,063,Ashburton District,Canterbury,South Island
AUCKLAND,Auckland,Auckland,076,Auckland,Auckland,North Island
BULLER DISTRICT,Buller district,Buller District,055,Buller District,West Coast,South Island
CARTERTON DISTRICT,Carterton district,Carterton District,049,Carterton District,Wellington,North Island
CENTRAL HAWKE'S BAY DISTRICT,Central Hawke's Bay district,Central Hawke's Bay District,032,Central Hawke's Bay District,Hawke's Bay,North Island
CENTRAL OTAGO DISTRICT,Central Otago district,Central Otago District,069,Central Otago District,Otago,South Island
CHATHAM ISLANDS TERRITORY,Chatham Islands territory,Chatham Islands Territory,067,Chatham Islands Territory,Chatham Islands,Chatham Islands
CHRISTCHURCH CITY,Christchurch city,Christchurch City,060,Christchurch City,Canterbury,South Island
CLUTHA DISTRICT,Clutha district,Clutha District,072,Clutha District,Otago,South Island
DUNEDIN CITY,Dunedin city,Dunedin City,071,Dunedin City,Otago,South Island
FAR NORTH DISTRICT,Far North district,Far North District,001,Far North District,Northland,North Island
GISBORNE DISTRICT,Gisborne district,Gisborne District,028,Gisborne District,Gisborne,North Island
GORE DISTRICT,Gore district,Gore District,074,Gore District,Southland,South Island
GREY DISTRICT,Grey district,Grey District,056,Grey District,West Coast,South Island
HAMILTON CITY,Hamilton city,Hamilton City,016,Hamilton City,Waikato,North Island
HASTINGS DISTRICT,Hastings district,Hastings District,030,Hastings District,Hawke's Bay,North Island
HAURAKI DISTRICT,Hauraki district,Hauraki District,012,Hauraki District,Waikato,North Island
HOROWHENUA DISTRICT,Horowhenua district,Horowhenua District,042,Horowhenua District,Manawatū-Whanganui,North Island
HURUNUI DISTRICT,Hurunui district,Hurunui District,058,Hurunui District,Canterbury,South Island
INVERCARGILL CITY,Invercargill city,Invercargill City,075,Invercargill City,Southland,South Island
KAIKOURA DISTRICT,Kaikoura district,Kaikoura District,054,Kaikoura District,Canterbury,South Island
KAIPARA DISTRICT,Kaipara district,Kaipara District,003,Kaipara District,Northland,North Island
KAPITI COAST DISTRICT,Kapiti Coast district,Kapiti Coast District,043,Kapiti Coast District,Wellington,North Island
KAWERAU DISTRICT,Kawerau district,Kawerau District,026,Kawerau District,Bay of Plenty,North Island
LOWER HUTT CITY,Lower Hutt city,Lower Hutt City,046,Lower Hutt City,Wellington,North Island
MACKENZIE DISTRICT,Mackenzie district,Mackenzie District,065,Mackenzie District,Canterbury,South Island
MANAWATU DISTRICT,Manawatū district,Manawatu District,039,Manawatū District,Manawatū-Whanganui,North Island
MARLBOROUGH DISTRICT,Marlborough district,Marlborough District,053,Marlborough District,Marlborough,South Island
MASTERTON DISTRICT,Masterton district,Masterton District,048,Masterton District,Wellington,North Island
MATAMATA-PIAKO DISTRICT,Matamata-Piako district,Matamata-Piako District,015,Matamata-Piako District,Waikato,North Island
NAPIER CITY,Napier city,Napier City,031,Napier City,Hawke's Bay,North Island
NELSON CITY,Nelson city,Nelson City,052,Nelson City,Nelson,South Island
NEW PLYMOUTH DISTRICT,New Plymouth district,New Plymouth District,033,New Plymouth District,Taranaki,North Island
PALMERSTON NORTH CITY,Palmerston North city,Palmerston North City,040,Palmerston North City,Manawatū-Whanganui,North Island
PORIRUA CITY,Porirua city,Porirua City,044,Porirua City,Wellington,North Island
QUEENSTOWN-LAKES DISTRICT,Queenstown-Lakes district,Queenstown-Lakes District,070,Queenstown-Lakes District,Otago,South Island
RANGITIKEI DISTRICT,Rangitikei district,Rangitikei District,038,Rangitikei District,Manawatū-Whanganui,North Island
ROTORUA DISTRICT,Rotorua district,Rotorua District,024,Rotorua District,Bay of Plenty,North Island
RUAPEHU DISTRICT,Ruapehu district,Ruapehu District,036,Ruapehu District,Manawatū-Whanganui,North Island
SELWYN DISTRICT,Selwyn district,Selwyn District,062,Selwyn District,Canterbury,South Island
SOUTH TARANAKI DISTRICT,South Taranaki district,South Taranaki District,035,South Taranaki District,Taranaki,North Island
SOUTH WAIKATO DISTRICT,South Waikato district,South Waikato District,019,South Waikato District,Waikato,North Island
SOUTH WAIRARAPA DISTRICT,South Wairarapa district,South Wairarapa District,050,South Wairarapa District,Wellington,North Island
SOUTHLAND DISTRICT,Southland district,Southland District,073,Southland District,Southland,South Island
STRATFORD DISTRICT,Stratford district,Stratford District,034,Stratford District,Taranaki,North Island
TARARUA DISTRICT,Tararua district,Tararua District,041,Tararua District,Manawatū-Whanganui,North Island
TASMAN DISTRICT,Tasman district,Tasman District,051,Tasman District,Tasman,South Island
TAUPO DISTRICT,Taupō district,Taupo District,021,Taupō District,Waikato,North Island
TAURANGA CITY,Tauranga city,Tauranga City,023,Tauranga City,Bay of Plenty,North Island
THAMES-COROMANDEL DISTRICT,Thames-Coromandel district,Thames-Coromandel District,011,Thames-Coromandel District,Waikato,North Island
TIMARU DISTRICT,Timaru district,Timaru District,064,Timaru District,Canterbury,South Island
UPPER HUTT CITY,Upper Hutt city,Upper Hutt City,045,Upper Hutt City,Wellington,North Island
WAIKATO DISTRICT,Waikato district,Waikato District,013,Waikato District,Waikato,North Island
WAIMAKARIRI DISTRICT,Waimakariri district,Waimakariri District,059,Waimakariri District,Canterbury,South Island
WAIMATE DISTRICT,Waimate district,Waimate District,066,Waimate District,Canterbury,South Island
WAIPA DISTRICT,Waipa district,Waipa District,017,Waipa District,Waikato,North Island
WAIROA DISTRICT,Wairoa district,Wairoa District,029,Wairoa District,Hawke's Bay,North Island
WAITAKI DISTRICT,Waitaki district,Waitaki District,068,Waitaki District,Otago,South Island
WAITOMO DISTRICT,Waitomo district,Waitomo District,020,Waitomo District,Waikato,North Island
WELLINGTON CITY,Wellington city,Wellington City,047,Wellington City,Wellington,North Island
WESTERN BAY OF PLENTY DISTRICT,Western Bay of Plenty district,Western Bay of Plenty District,022,Western Bay of Plenty District,Bay of Plenty,North Island
WESTLAND DISTRICT,Westland district,Westland District,057,Westland District,West Coast,South Island
WHAKATANE DISTRICT,Whakatāne district,Whakatane District,025,Whakatāne District,Bay of Plenty,North Island
WHANGANUI DISTRICT,Whanganui district,Whanganui District,037,Whanganui District,Manawatū-Whanganui,North Island
WHANGAREI DISTRICT,Whangārei district,Whangarei District,002,Whangārei District,Northland,North Island
OPOTIKI DISTRICT,Ōpōtiki district,Ōpōtiki District,027,Ōpōtiki District,Bay of Plenty,North Island
OTOROHANGA DISTRICT,Ōtorohanga district,Ōtorohanga District,018,Ōtorohanga District,Waikato,North Island
